Year,Quarter,Month,Country,StateOrProvince,Revenue,Quantity
2001,4,12,US,ND,55,7
2001,4,12,US,NE,50,8
2001,4,12,US,NJ,117.97,15
2001,4,12,US,NM,26.97,2
2001,4,12,US,NV,59.98,6
2001,4,12,US,NY,88.97,10
2001,4,12,US,OH,80,14
2001,4,12,US,OK,45.98,6
2001,4,12,US,OR,40,6
2001,4,12,US,PA,104.9,10
2001,4,12,US,TN,108.9,8
2001,4,12,US,TX,236.95,28
2001,4,12,US,UT,20,4
2001,4,12,US,VA,60,11
2001,4,12,US,WA,102.98,13
2001,4,12,US,WI,113.9,11
2001,4,12,US,WV,15,2
2002,1,1,US,AK,10,2
2002,1,1,US,AL,20,3
2002,1,1,US,AR,109.96,14
2002,1,1,US,AZ,10,2
2002,1,1,US,CA,334.94,49
2002,1,1,US,CO,54.96,3
2002,1,1,US,CT,10,2
2002,1,1,US,DC,25,3
2002,1,1,US,FL,159.94,17
2002,1,1,US,GA,150.95,21
2002,1,1,US,HI,50.96,2
2002,1,1,US,IA,55,9
2002,1,1,US,IL,159.06,14
2002,1,1,US,IN,30,6
2002,1,1,US,KS,10,2
2002,1,1,US,KY,25,4
2002,1,1,US,LA,70,12
2002,1,1,US,MA,25,5
2002,1,1,US,MD,50,8
2002,1,1,US,ME,23.98,2
2002,1,1,US,MI,113.94,15
2002,1,1,US,MN,25,4
2002,1,1,US,MO,91.96,12
2002,1,1,US,MS,64.96,3
2002,1,1,US,MT,69.98,4
2002,1,1,US,NC,40,8
2002,1,1,US,ND,53.98,7
2002,1,1,US,NE,10,2
2002,1,1,US,NJ,95,12
2002,1,1,US,NM,10,2
2002,1,1,US,NV,25,4
2002,1,1,US,NY,477.14,50
2002,1,1,US,OH,148.94,16
2002,1,1,US,OK,15,2
2002,1,1,US,OR,38.96,2
2002,1,1,US,PA,105,13
2002,1,1,US,RI,15,3
2002,1,1,US,SD,10,2
2002,1,1,US,TN,54.91,4
2002,1,1,US,TX,319.74,29
2002,1,1,US,VA,10,2
2002,1,1,US,VT,10,2
2002,1,1,US,WA,45,7
2002,1,1,US,WI,75,12
2002,1,1,US,WV,25,4
2002,1,2,US,AK,15,2
2002,1,2,US,AL,70,9
2002,1,2,US,AR,75.94,9
2002,1,2,US,AZ,65,10
2002,1,2,US,CA,447.1,53
2002,1,2,US,CO,85.91,6
2002,1,2,US,CT,110.98,14
2002,1,2,US,DE,15,2
2002,1,2,US,FL,75,12
2002,1,2,US,GA,70,11
2002,1,2,US,IA,35,4
2002,1,2,US,ID,10,2
2002,1,2,US,IL,217.8,21
2002,1,2,US,IN,149.7,19
2002,1,2,US,KS,58.96,6
2002,1,2,US,KY,103.93,11
2002,1,2,US,LA,80,15
2002,1,2,US,MA,120,18
2002,1,2,US,MD,65,10
2002,1,2,US,ME,10,2
2002,1,2,US,MI,226.95,27
2002,1,2,US,MN,55,10
2002,1,2,US,MO,108.99,18
2002,1,2,US,MS,55,6
2002,1,2,US,NC,123.78,16
2002,1,2,US,NJ,80,13
2002,1,2,US,NM,15,2
2002,1,2,US,NV,54.95,6
2002,1,2,US,NY,206.15,27
2002,1,2,US,OH,80.98,10
2002,1,2,US,OR,10,2
2002,1,2,US,PA,191.93,24
2002,1,2,US,RI,10,2
2002,1,2,US,SC,20,4
2002,1,2,US,SD,43.97,6
2002,1,2,US,TN,75,9
2002,1,2,US,TX,323.83,34
2002,1,2,US,UT,15,2
2002,1,2,US,VA,65,8
2002,1,2,US,WA,90,14
2002,1,2,US,WI,95,13
2002,1,2,US,WV,38.96,4
2002,1,2,US,WY,10,2
2002,1,3,US,AK,15,2
2002,1,3,US,AL,20,4
2002,1,3,US,AR,10,2
2002,1,3,US,AZ,79.98,9
2002,1,3,US,CA,396.34,54
2002,1,3,US,CO,70.98,9
2002,1,3,US,DE,15,2
2002,1,3,US,FL,151.1,20
2002,1,3,US,GA,45,8
2002,1,3,US,HI,46.14,2
2002,1,3,US,IA,30,5
2002,1,3,US,ID,82.18,8
2002,1,3,US,IL,163.98,24
2002,1,3,US,IN,90,13
2002,1,3,US,KS,102.88,8
2002,1,3,US,KY,68.97,7
2002,1,3,US,LA,25,4
2002,1,3,US,MA,55,8
2002,1,3,US,MD,65,10
2002,1,3,US,ME,20,2
2002,1,3,US,MI,59.98,7
2002,1,3,US,MN,165.74,16
2002,1,3,US,MO,91.98,10
2002,1,3,US,MS,45,8
2002,1,3,US,NC,85,12
2002,1,3,US,ND,70.92,4
2002,1,3,US,NE,114.9,6
2002,1,3,US,NH,59.97,5
2002,1,3,US,NJ,65,10
2002,1,3,US,NM,74.96,6
2002,1,3,US,NV,81.92,5
2002,1,3,US,NY,186.97,25
2002,1,3,US,OH,174.98,22
2002,1,3,US,OK,10,2
2002,1,3,US,OR,45,6
